,business_id,city,stars,categories
38,Xw8tuI30T-xihpzwBV-zJg,Austin,5.0,"Food Trucks, Restaurants, Specialty Food, Food, Mexican, Ethnic Food"
52,Of6xu3pY3eHe2yhiyz2dvg,Boulder,1.5,"Restaurants, Tex-Mex, Tacos, Fast Food, Breakfast & Brunch, Mexican"
65,z-0oY7VxQMQw3JHvdPejrA,Austin,3.0,"Coffee & Tea, Tex-Mex, Restaurants, Mexican, Food"
74,Mf9io8WkMyGautXuSSfGTg,Vancouver,3.5,"Restaurants, Food Delivery Services, Mexican, Desserts, Food, Seafood"
106,52f_ztOVodIoV43Qt-R4rA,Portland,4.0,"Restaurants, Mexican, Food Trucks, Food, Food Stands"
158,_8Hejg5Q-_izIhLvq2ocnw,Boulder,4.0,"Restaurants, Mexican"
190,r_sOAVfNPaXrpjznZpuxeg,Portland,4.0,"Mexican, Restaurants, Tacos, Breakfast & Brunch"
193,opdd6sSWjwiy-doXnlpMeA,Atlanta,3.5,"Restaurants, Nightlife, Mexican, Bars, Sports Bars, Tex-Mex"
258,IFB2K3BEZ2L_Mv5AbUD26Q,Austin,3.5,"Tex-Mex, Mexican, Tacos, Restaurants"
280,C1Jkjsqoz1AsYJy28IosQg,Columbus,3.5,"International Grocery, Meat Shops, Specialty Food, Convenience Stores, Food, Mexican, Restaurants"
310,Xz6aqENKlT4FU-ZBvrf_ow,Orlando,4.5,"Restaurants, Mexican"
331,UbP_JuB-zHHfLz2dvKe9yw,Austin,4.0,"Restaurants, Food, Food Trucks, Mexican"
490,FrFDIPBzRbFVfanxG4wcNQ,Columbus,4.5,"Mexican, Restaurants, Food Stands, Latin American, Food, Food Trucks"
495,SRHQEF2-VPS_dl1_ZDH0gA,Portland,3.5,"Juice Bars & Smoothies, Cafes, Mexican, Vegetarian, Restaurants, American (New), Food, Vegan, Salad"
514,hrCpuDlWfbFHHr9I8W6O-A,North Vancouver,3.5,"Food, Ethnic Food, Mexican, Specialty Food, Restaurants"
542,573kl0gJWMq6LFNUyCudpw,Beaverton,4.0,"Restaurants, Grocery, Mexican, Specialty Food, Food"
571,D8-ssK_8w1WBajKCXUG5Uw,Quincy,4.0,"Restaurants, Mexican, Food, Tacos, Ice Cream & Frozen Yogurt, Seafood, Sandwiches"
603,fRi0NgK65Inn8x9Pak9yMg,Columbus,4.0,"Coffee & Tea, Mexican, Restaurants, Food, Bakeries"
639,q5VXVDhIeFlfofTn_PKxCQ,Sanford,4.0,"Mexican, Restaurants"
646,T55nNWr06T492oDUh0R8bQ,Austin,3.5,"Restaurants, Mexican"
658,HOQw78QIGe3shVx5rMpiCw,Austin,3.0,"Restaurants, Mexican"
660,QLavaVgcy8u0gpYbSPLEqw,Portland,2.0,"Restaurants, Fast Food, Breakfast & Brunch, Tacos, Mexican, Tex-Mex"
669,_rt-Z934kfFzgG19nTrIcQ,Austin,3.5,"Tex-Mex, Restaurants, Tacos, Nightlife, Bars, Mexican"
680,Ttdi1GklLuUL2Jfz25NAOQ,Vancouver,4.0,"Mexican, Restaurants"
706,JT4iSwV0aAlK68SCRNImZg,Austin,5.0,"Juice Bars & Smoothies, Restaurants, Shaved Ice, Food Stands, Food, Food Trucks, Mexican"
708,AWat-D7msT_Yfl46PqCSPQ,Vancouver,2.0,"Mexican, Restaurants"
755,r8pjKaza0jJLF9g0aeFVYA,Kissimmee,4.5,"Restaurants, Mexican"
765,f2wQu-vRn4dPMU4ZdEbVew,Burnaby,3.5,"Restaurants, Mexican"
767,aSCQeWftYjWWjwQiCfg7sA,Vancouver,3.0,"Food, Restaurants, Mexican, Fast Food"
816,S72ahVmIDe-6TyUpE7vAbQ,Austin,1.5,"Breakfast & Brunch, Mexican, Fast Food, Salad, Restaurants"
821,bgiYHi1XjnOe_eZtcRq55g,Portland,4.5,"Restaurants, Mexican, Barbeque, Food, Tacos, Food Trucks"
843,RKYJVJ2VxG_4Xhu7qtP-mg,Apopka,4.0,"Mexican, Restaurants"
844,i1y7wPxRsmZY974mgRH7aQ,Del Valle,5.0,"Restaurants, Food Trucks, Food, Mexican"
1010,mW4zQv4EMCWvBm-w2DDsmw,Austin,5.0,"Tacos, Mexican, Restaurants"
1041,1xUi8WFZFV2PRkO7V04XVA,Decatur,4.0,"Tex-Mex, Street Vendors, Restaurants, Food, Mexican"
1050,wv314cvTXt7-0dr0SpCQAw,Reading,2.5,"Restaurants, Mexican, Fast Food"
1104,I8LnJbP17NHjXx3910cNvw,Portland,4.5,"Food Trucks, Food, Restaurants, Mexican"
1107,J4dYSpqy6wxB2c8XNgsIJw,Portland,4.5,"Restaurants, Food Stands, Mexican"
1133,uTMksZ_1M8hoZb1l1q7vcQ,Delaware,4.5,"Restaurants, Mexican"
1206,ZjizmUFYq7NP8N-FAbtzFw,Boston,3.5,"Restaurants, Mexican, Delis"
1256,_IFMCrheTi12RqiR7jvJUg,Atlanta,4.0,"Restaurants, Tacos, Mexican, Tex-Mex"
1340,1eyv_Nm2KHOmGGb7je21Ug,Orlando,3.5,"Sandwiches, Restaurants, Tex-Mex, Breakfast & Brunch, Mexican"
1345,QdzRS1s0tSltIokm2xV-kA,Orlando,4.5,"Latin American, Mexican, Restaurants, Tex-Mex"
1375,4XLSNVJcveUz2P8cck9OZA,Austin,4.0,"Mexican, Breakfast & Brunch, Restaurants"
1383,4SkIgjCMDmwW1J1JNj7d_A,Austin,3.5,"Sandwiches, Fast Food, Restaurants, Delis, Mexican"
1406,LMtFiMmdT1XgY2QBomIJPQ,Boston,3.0,"Mexican, Restaurants"
1440,BJXadWOLyGXzly7Iqx4W_g,Malden,4.5,"Nightlife, Mexican, Restaurants, Bars, Latin American, Music Venues, Arts & Entertainment"
1481,Rbt9i4IDFiIBsau020X_xQ,Boulder,3.5,"Nightlife, African, American (New), Restaurants, Mexican, Bars"
